brand,name,current_price,former_price,discount
Aristar,AR 16250,$58.64,$75,N/A
Takumi,TK1079 With Magnetic Clip-On Lens,$115.74,$209.98,45% Off
Takumi,TK1042 Kids,$83.74,$129.98,36% Off
Takumi,TK1027 With Magnetic Clip-On Lens,$115.74,$209.98,45% Off
Original Penguin Jr.,The Saul Jr.,$146.40,$183,20% Off
Ray-Ban,RB7244,$89,$178,50% Off
Versace,VE3329B,$346,N/A,
Stetson,Stetson T-511,$118.69,$237.38,50% Off
Stetson,Stetson 334,$97.44,$194.88,50% Off
Burberry,BE2419,$483,N/A,
Sferoflex,SF2589,$116,N/A,
Dolce & Gabbana,DG3308,$335,N/A,
ECO,Yamuna,$209.25,N/A,
Via Spiga,Nella,$104.94,$209.88,50% Off
Gucci,GG1285O,$463.25,$545,15% Off
Guess,GU50176,$97.50,$195,50% Off
Dolce & Gabbana,DG1361,$453,N/A,
Burberry,BE1372,$154.50,$309,50% Off
GX by Gwen Stefani Kids,GX906,$113.90,N/A,
Burberry,BE2363,$160.50,$321,50% Off
Flexon,E1042,$246.40,$308,20% Off
Burberry,BE2411,$311,N/A,
Takumi,TK1050 With Magnetic Clip-On Lens,$115.74,$209.98,45% Off
Dolce & Gabbana,DG5102,$144,$288,50% Off
Sferoflex,SF2271,$128,N/A,
Versace,VE3284B,$152,$304,50% Off
Lulu Guinness,L914,$179.42,$299.03,40% Off
Randy Jackson,RJ Limited Edition X120,$100,$200,50% Off
Ray-Ban,RB6375,$189,N/A,
Lucky Brand Kids,D714-Children's,$156.80,$196,20% Off
Vera Bradley,Denise,$174.69,N/A,
Persol,PO3254V,$150,$300,50% Off
Ray-Ban,RB8148V - Hexagonal Titanium,$316.40,$452,30% Off
Ray-Ban,RB6343,$89.50,$179,50% Off
Easytwist,ET990 No Clip-On Lens,$111.74,$199.98,44% Off
Via Spiga,Mirabella,$104.94,$209.88,50% Off
Ray-Ban,RB3758V,$176,N/A,
Brooks Brothers,BB 2033,$182,N/A,
Lafont Issy & La,Clic,$379,N/A,
Versace,VE1233Q,$316,N/A,
Ray-Ban,RB5286,$222,N/A,
Oakley,Crosslink Zero,$187,N/A,
Modo,4512,$335,N/A,
Oakley,Exchange R,$242,N/A,
Stetson,Stetson XL 21,$97.44,$194.88,50% Off
Randy Jackson,RJ 3034,$93.50,$187,50% Off
B.M.E.C. Big Mens,Big Edge,$104.99,$209.97,50% Off
Kate Spade,Violette,$168,$240,30% Off
Brooks Brothers,BB 2035,$87.50,$175,50% Off
EasyClip,EC433 No Clip-On Lens,$83.74,$129.98,36% Off
Saint Laurent,SL 170,$305,N/A,
Takumi,TK1049 With Magnetic Clip-On Lens,$115.74,$209.98,45% Off
Dolce & Gabbana,DG5107,$287.70,$411,30% Off
GX by Gwen Stefani,GX024 TAVI,$169.88,N/A,
