brand,name,original_price,former_price,discount
Oakley,Barrelhouse,$255,,
Oakley,Socket 5.5,$227,N/A,
Oakley,Socket 5.5,$227,N/A,N/A
Oakley,Holbrook RX,$187,,
Oakley,Enigma Mass,$255,N/A,
Ray-Ban,RB6348D,$127.40,$182,30% Off
Ray-Ban,RB3925V,$155.40,$222,30% Off
Ray-Ban,RB5446,$186,N/A,
Ray-Ban,RB8780D,$276,N/A,
Ray-Ban,RB7017,$222,N/A,
Ray-Ban,RB5154 Clubmaster,$222,N/A,
Persol,PO3263V,$363,,
Versace,VE1285,$210,$300,30% Off
Gucci,GG1340O,$259.25,$305,15% Off
Kate Spade,Lucyann,$161,$230,30% Off
Burberry,BE2420,$294.70,$421,30% Off
Dolce & Gabbana,DG3415,$234.50,$335,30% Off
Versace,VE1175B,$221.20,$316,30% Off
Coach,HC6065,$178.50,$255,30% Off
Giorgio Armani,AR7202,$228.90,$327,30% Off
RALPH by Ralph Lauren,RA7158U,$98.70,$141,30% Off
Ray-Ban,RB7047,$176,N/A,
Ray-Ban,RB7140,$237,N/A,
Ray-Ban,RB6335,$210,N/A,
Ray-Ban,RB5268,$176,N/A,
