Brand,Name,First Book Status,Second Book Status,Former Price,Current Price,Discount Percentage
Ray-Ban,RB8416 Optics,Best Seller,None,$ 276.00,None,None
Oakley,OX8046 Airdrop™,Best Seller,None,$ 227.00,None,None
Tory Burch,TY2142U,None,Sustainable,$ 208.00,$ 145.60,-30%
Versace,VE3328,Best Seller,None,$ 286.00,$ 200.20,-30%
Coach,HC6232U,None,Universal Fit,$ 210.00,$ 147.00,-30%
Oakley,OX3036 Foil RQ,New arrival,None,$ 172.00,None,None
Ray-Ban,RB6489 Aviator Optics,Best Seller,None,$ 210.00,None,None
Ray-Ban,RB7159 Optics,Best Seller,None,$ 222.00,None,None
Armani Exchange,AX3108U,None,Sustainable,$ 132.00,$ 92.40,-30%
Oakley,OX5080 Sway Bar 0.5,None,None,$ 387.00,None,None
Tory Burch,TY2079,None,None,$ 247.00,$ 172.90,-30%
Oakley,OX8139 Hstn,None,None,$ 187.00,None,None
Ray-Ban,RB7330 Zena Optics Bio-based,None,Sustainable,$ 176.00,None,None
Oakley,OX3184 TinCup™,None,None,$ 346.00,None,None
Ray-Ban,RB5440 Optics,New arrival,None,$ 189.00,None,None
Versace,VE3350,None,Sustainable,$ 376.00,$ 263.20,-30%
Ray-Ban,RB4340V Wayfarer Ease Optics Change,None,None,$ 268.00,None,None
Ray-Ban,RB6375 Optics,Best Seller,None,$ 189.00,None,None
Ray-Ban,RB1591 Optics Kids,Kids,None,$ 110.00,None,None
Ray-Ban,RB7047 Optics,None,Sustainable,$ 176.00,None,None
Ralph by Ralph Lauren,RA7069,None,None,$ 141.00,$ 98.70,-30%
Ray-Ban,RB6510 Optics,None,None,$ 210.00,None,None
Oakley,OX3218 Socket 5.5,Best Seller,None,$ 227.00,None,None
Oakley,OX8060 Overhead,Best Seller,None,$ 172.00,None,None
Ray-Ban,RB7258 Shea Optics Bio-Based,New arrival,None,$ 176.00,None,None
Oakley,OX5113 Lizard™,None,None,$ 318.00,None,None
